encoder,backbone,strategy,prediction_head,fold,seed,test_r2,test_rmse,test_mae,test_n,validation_rmse,best_epoch,parameter_count,sequence_feature_dim,readout_dim,checkpoint
clay,clay_v1_5_cls,mean,mlp,4,0,0.6696304762770333,18.64347772342602,12.879803356492376,415,13.470440831571583,92,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_mean_fold4_seed0.pt
clay,clay_v1_5_cls,mean,mlp,4,1,0.6646142758210187,18.78448210485834,13.65039979865752,415,14.158992422260793,13,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_mean_fold4_seed1.pt
clay,clay_v1_5_cls,mean,mlp,4,2,0.6914843298290314,18.016297861133758,12.82224849103445,415,13.705081521507738,61,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_mean_fold4_seed2.pt
clay,clay_v1_5_cls,concat,mlp,4,0,0.745654468552573,16.358331147558207,11.823887744581842,415,12.824415368950024,21,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_concat_fold4_seed0.pt
clay,clay_v1_5_cls,concat,mlp,4,1,0.7318918348304185,16.795075472631947,11.837526491463903,415,12.472987984166174,72,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_concat_fold4_seed1.pt
clay,clay_v1_5_cls,concat,mlp,4,2,0.7141817460334922,17.340911445815095,12.360222120170134,415,12.697440466095044,29,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_concat_fold4_seed2.pt
clay,clay_v1_5_cls,conv1d,mlp,4,0,0.7244526729611092,17.026486593486826,12.13018495490752,415,13.209508635552403,93,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_conv1d_fold4_seed0.pt
clay,clay_v1_5_cls,conv1d,mlp,4,1,0.737833850807394,16.607920108908274,12.043098946077277,415,13.116651992785096,60,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_conv1d_fold4_seed1.pt
clay,clay_v1_5_cls,conv1d,mlp,4,2,0.7267793351572402,16.954450216056983,12.193851277914392,415,12.914410738480608,77,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/clay_conv1d_fold4_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,4,0,0.6540634762862896,19.077661907087126,13.410771032126553,415,14.974836951064283,126,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_mean_fold4_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,4,1,0.6470433798134937,19.27026138674673,13.260066186376365,415,15.100163052831277,49,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_mean_fold4_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,4,2,0.6415372619266191,19.41998760653268,13.678794640230846,415,14.850684978928559,25,558081,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_mean_fold4_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,4,0,0.7536837455595992,16.098057544346236,11.233808071642036,415,12.919662931460866,27,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_concat_fold4_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,4,1,0.7205574381914694,17.146410486587232,11.900251770019532,415,12.992300458045637,41,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_concat_fold4_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,4,2,0.7166549127798925,17.26572355448236,11.850191709219692,415,13.06936223540044,52,3703809,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_concat_fold4_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,4,0,0.7112561999191913,17.429433570071037,12.19818258630224,415,13.96455635041244,52,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_conv1d_fold4_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,4,1,0.723747782051434,17.048250821702123,12.353463156826525,415,13.851893784370604,51,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_conv1d_fold4_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,4,2,0.6976652161486383,17.834913096620785,12.427941287856504,415,13.847024226454295,59,918657,2048,256,outputs/temporal_ablation_covered/fold_4/checkpoints/prithvi_conv1d_fold4_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,4,0,0.6404793799640986,19.448622269960794,13.89978165224374,415,15.223777807810384,10,427009,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_mean_fold4_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,4,1,0.5966934365545895,20.598926331894212,14.534503633430205,415,14.680599165903045,12,427009,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_mean_fold4_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,4,2,0.6750581445643464,18.489695863539712,13.366684070265437,415,15.033751975977268,11,427009,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_mean_fold4_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,4,0,0.6844464774221866,18.22063279846758,12.850131630035769,415,12.581298671502044,57,2786305,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_concat_fold4_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,4,1,0.7044830879705464,17.632671213056753,12.738355650384742,415,12.76828385645161,43,2786305,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_concat_fold4_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,4,2,0.7087229714718192,17.505723205392133,12.56537977471409,415,13.158324407683045,42,2786305,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_concat_fold4_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,4,0,0.6893267146051476,18.07918690587493,13.067682399519954,415,13.818241315634161,68,722049,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_conv1d_fold4_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,4,1,0.6657024791087334,18.753982978304517,13.32778807490705,415,14.439525369220311,17,722049,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_conv1d_fold4_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,4,2,0.6629274664462707,18.83166076726674,13.3296680128718,415,13.648332120948151,126,722049,1536,256,outputs/temporal_ablation_covered/fold_4/checkpoints/terramind_conv1d_fold4_seed2.pt
