encoder,backbone,strategy,fold,seeds,test_n,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,parameter_count
clay,clay_v1_5_cls,concat,4,3,415,0.7305760164721612,0.012882328960109395,16.831439355335082,0.4019599976818459,12.007212118738627,0.24967785869947542,3703809
clay,clay_v1_5_cls,conv1d,4,3,415,0.7296886196419144,0.005837347131363191,16.862952306150692,0.1827172244043169,12.122378392966397,0.061791440591651245,918657
clay,clay_v1_5_cls,mean,4,3,415,0.6752430273090279,0.01166549034298563,18.48141922980604,0.33389017614824634,13.11748388206145,0.3775603009282476,558081
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,4,3,415,0.7302986988436536,0.016612299330660905,16.836730528471943,0.5245869709593882,11.661417183627087,0.30305518409612403,3703809
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,4,3,415,0.7108897327064212,0.010651315558244327,17.437532496131315,0.3212045850103933,12.326529010328423,0.09571259555099056,918657
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,4,3,415,0.6475480393421341,0.005126241148963473,19.255970300122176,0.14011875318910633,13.449877286244588,0.1731672675963894,558081
terramind,terramind_v1_base_s2_6_prithvi,concat,4,3,415,0.699217512288184,0.010587154363834067,17.786342405638823,0.3114322378303418,12.717955685044865,0.11714100823846328,2786305
terramind,terramind_v1_base_s2_6_prithvi,conv1d,4,3,415,0.6726522200533839,0.01184494970403859,18.55494355048206,0.3379021045513948,13.241712829099603,0.12306049015679264,722049
terramind,terramind_v1_base_s2_6_prithvi,mean,4,3,415,0.6374103203610115,0.03206577833661187,19.51241482179824,0.8622704175261904,13.933656451979795,0.477361679491526,427009
