representation,backbone,held_out_years,seeds_per_year,county_years_tested,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
alphaearth,alphaearth,4,1,2076,0.654644198530118,0.14257014430284387,18.55391565009961,2.894255567811244,14.073279708072096,2.441252720877694
clay,clay_v1_5_cls,4,1,2076,0.6863216623789732,0.08280298498315128,18.058374747414845,2.7935177171081906,14.056569183391321,2.3541361094180675
presto,presto_s2,4,1,2076,0.6382900038039511,0.09972295305058376,19.43889221826222,3.3817329858395033,15.582754122655498,3.2838205965418052
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,4,1,2076,0.6754309226803783,0.11017265592812471,18.07768393370223,2.4949974149643857,13.933969368085616,1.8382452970808616
sentinel2_indices,sentinel2_indices,4,1,2076,0.6839443673205566,0.10310829647388896,17.91009078975026,2.549783973456274,13.914180785255052,2.010203524716604
terramind,terramind_v1_base_s2_6_prithvi,4,1,2076,0.6940458254870766,0.08223584180350547,17.832088620879546,2.7386459041100855,14.178228576642223,2.5493078825125672
