encoder,backbone,strategy,fold,seeds,test_n,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,parameter_count
clay,clay_v1_5_cls,concat,3,3,415,0.8339832181841196,0.009597595349790617,13.917090903394088,0.3999354383837988,10.426394855545228,0.3673198488348096,3703809
clay,clay_v1_5_cls,conv1d,3,3,415,0.8083282566776321,0.006037453854835373,14.95813413428057,0.2344541022142064,11.20111995834902,0.1525650029010124,918657
clay,clay_v1_5_cls,mean,3,3,415,0.7839369183618086,0.01167738155810221,15.877489444515836,0.4312936130365214,11.944086226497788,0.5049327998758967,558081
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,3,3,415,0.8250558211012023,0.004385001289619662,14.291159825301369,0.1788061954694729,10.701728710496283,0.06048134942140446,3703809
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,3,3,415,0.7931243110926355,0.015508365208293703,15.531274570180793,0.5768576717315876,11.599656137979652,0.4112296234656262,918657
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,3,3,415,0.7669064088604364,0.020663645221388454,16.480961412643065,0.7374599253849923,12.364285223168062,0.3628662302694085,558081
terramind,terramind_v1_base_s2_6_prithvi,concat,3,3,415,0.7999379301876979,0.026350035799419018,15.251969156673923,0.9873897225055774,11.355606079101562,0.7402235463422262,2786305
terramind,terramind_v1_base_s2_6_prithvi,conv1d,3,3,415,0.7883814591166676,0.0053636234515288825,15.717880941086745,0.1983594125815215,11.604615520186215,0.15397022180539305,722049
terramind,terramind_v1_base_s2_6_prithvi,mean,3,3,415,0.7507540489869776,0.00902764533177844,17.056715812580705,0.3070558927807021,12.7628347925393,0.329508998147237,427009
