encoder,backbone,strategy,prediction_head,fold,seed,test_r2,test_rmse,test_mae,test_n,validation_rmse,best_epoch,parameter_count,sequence_feature_dim,readout_dim,checkpoint
clay,clay_v1_5_cls,mean,mlp,3,0,0.7710646739555045,16.349637346937264,12.513615748393967,415,16.77790288720893,27,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_mean_fold3_seed0.pt
clay,clay_v1_5_cls,mean,mlp,3,1,0.7993324408260573,15.307007748705166,11.286276171580855,415,17.798627225596924,30,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_mean_fold3_seed1.pt
clay,clay_v1_5_cls,mean,mlp,3,2,0.7814136403038641,15.975823237905075,12.032366759518544,415,17.640870549118514,21,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_mean_fold3_seed2.pt
clay,clay_v1_5_cls,concat,mlp,3,0,0.8372901277904355,13.78347332086372,10.145848726939006,415,16.03470250251809,5,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_concat_fold3_seed0.pt
clay,clay_v1_5_cls,concat,mlp,3,1,0.8209293679321525,14.45985377704739,10.945292020131307,415,15.905084884001164,5,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_concat_fold3_seed1.pt
clay,clay_v1_5_cls,concat,mlp,3,2,0.8437301588297705,13.50794561227115,10.18804381956537,415,15.985029636494007,60,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_concat_fold3_seed2.pt
clay,clay_v1_5_cls,conv1d,mlp,3,0,0.7998713128822886,15.286441235963972,11.41669107460114,415,15.859624879635021,61,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_conv1d_fold3_seed0.pt
clay,clay_v1_5_cls,conv1d,mlp,3,1,0.8115387159006768,14.83415426021592,11.101140842667546,415,16.079543548142766,22,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_conv1d_fold3_seed1.pt
clay,clay_v1_5_cls,conv1d,mlp,3,2,0.8135747412499308,14.753806906661815,11.085527957778378,415,15.98912492839402,37,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/clay_conv1d_fold3_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,3,0,0.744091493422167,17.285982904793244,12.793645670327795,415,18.528307143874503,13,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_mean_fold3_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,3,1,0.7624996617019435,16.652668404194987,12.39300807355398,415,18.841628758711582,5,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_mean_fold3_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,3,2,0.7941280714571985,15.504232928940965,11.906201925622412,415,18.686069807468456,63,558081,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_mean_fold3_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,3,0,0.8299206003095172,14.092160314144445,10.662675218697053,415,16.90501006584808,42,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_concat_fold3_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,3,1,0.8192928464274648,14.525777600502973,10.787157725138837,415,17.906465886368295,5,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_concat_fold3_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,3,2,0.8259540165666248,14.255541561256683,10.655353187652956,415,16.485156559685272,18,3703809,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_concat_fold3_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,3,0,0.7716538797569367,16.328584441766623,12.11173915633236,415,17.22472731503749,20,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_conv1d_fold3_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,3,1,0.79998273416286,15.282185294407904,11.582346573795181,415,16.853774336947883,67,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_conv1d_fold3_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,3,2,0.8077363193581101,14.983053974367857,11.104882683811418,415,16.520174814985463,34,918657,2048,256,outputs/temporal_ablation_covered/fold_3/checkpoints/prithvi_conv1d_fold3_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,3,0,0.7566912173395866,16.855071955435058,12.419951932976044,415,18.205886799809726,27,427009,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_mean_fold3_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,3,1,0.7575737279006782,16.824476488388218,12.66098557437759,415,17.974039453454928,7,427009,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_mean_fold3_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,3,2,0.7379972017206681,17.490598993918844,13.20756687026426,415,18.443830780876027,15,427009,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_mean_fold3_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,3,0,0.8220024888423145,14.416461712366521,10.757802590979152,415,16.974790975025552,77,2786305,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_concat_fold3_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,3,1,0.8149124387912112,14.700778515592742,10.910283670080714,415,16.6246708552022,101,2786305,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_concat_fold3_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,3,2,0.7628988629295679,16.638667242062503,12.398731976244823,415,16.587959656804657,15,2786305,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_concat_fold3_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,3,0,0.7926500028010147,15.559790128136013,11.561664829483952,415,16.713560221879188,22,722049,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_conv1d_fold3_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,3,1,0.7808169629784082,15.99761305859441,11.810960204342761,415,16.6496607245922,22,722049,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_conv1d_fold3_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,3,2,0.7916774115705799,15.596239636529809,11.441221526731928,415,16.368440423881523,67,722049,1536,256,outputs/temporal_ablation_covered/fold_3/checkpoints/terramind_conv1d_fold3_seed2.pt
