family,representation,backbone,regressor,folds,seeds_per_fold,test_n_total,r2_mean,r2_std,rmse_mean,rmse_std,rmse_bu_per_acre_mean,rmse_bu_per_acre_std,mae_mean,mae_std
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,5,3,2076,0.8606358450717018,0.03122740811334177,12.768907195861766,0.9879880387853239,12.768907195861766,0.9879880387853239,9.607520637521544,0.5890927542992309
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,5,3,2076,0.8541566215506229,0.034995254145380406,13.05502163823561,1.194825612489924,13.05502163823561,1.194825612489924,9.825913517408349,0.7361603232990105
climate_fusion,presto_era5,presto_s2_era5,ebm,5,3,2076,0.809763301805574,0.04831187851195713,14.895598880450489,1.385046495101571,14.895598880450489,1.385046495101571,11.260549969069903,0.6098069210077357
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,5,3,2076,0.8410198116726386,0.03357043199327373,13.65074989018816,0.9998811571636546,13.65074989018816,0.9998811571636546,10.221200989418175,0.6210127377642725
climate_fusion,sentinel2_indices_daymet,sentinel2_indices_daymet_late_fusion,ebm,5,3,2076,0.859696123816096,0.017502309506836955,12.877048947926195,0.47273992364694567,12.877048947926195,0.47273992364694567,9.82294565609732,0.3542559811436473
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,5,3,2076,0.839355346876188,0.034969235664659794,13.717398088315537,1.1038091753743895,13.717398088315537,1.1038091753743895,10.346951116351523,0.6040724075877565
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,5,3,2076,0.8112885949058105,0.04676898741521047,14.836928141552216,1.3971972587908983,14.836928141552216,1.3971972587908983,11.122028863809007,0.8816842011804457
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,5,3,2076,0.8280633038449748,0.048788049029791745,14.12932725820238,1.4690494064231612,14.12932725820238,1.4690494064231612,10.56606452781411,0.735064936780486
climate_fusion,presto_era5,presto_s2_era5,random_forest,5,3,2076,0.7980719529057689,0.05980462311251854,15.299457014528567,1.6586602221593085,15.299457014528567,1.6586602221593085,11.560264736784815,0.7552609824699182
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,5,3,2076,0.7685550605412177,0.0495412143332376,16.46386659133568,1.405153253839863,16.46386659133568,1.405153253839863,12.13588546739031,0.8993202083434331
climate_fusion,sentinel2_indices_daymet,sentinel2_indices_daymet_late_fusion,random_forest,5,3,2076,0.8603941638823139,0.0405257874529239,12.720799397650856,1.3000232293007628,12.720799397650856,1.3000232293007628,9.499239806732293,0.7776366857070725
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,5,3,2076,0.7980595800428306,0.044448095379060186,15.379361433210113,1.3241627216678193,15.379361433210113,1.3241627216678193,11.633521832688912,0.80439892146986
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,5,1,2076,0.8437955358893788,0.029211788413394172,13.552563246066294,0.998561799777523,13.552563246066294,0.998561799777523,10.031471518784347,0.49260093786185316
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,5,1,2076,0.8445749179727186,0.03139641030984599,13.507103704365317,1.0272317041481955,13.507103704365317,1.0272317041481955,10.281675038888347,0.7077364537620559
climate_fusion,presto_era5,presto_s2_era5,ridge,5,1,2076,0.813493293486886,0.03991563611888896,14.780358403249807,1.124210690706109,14.780358403249807,1.124210690706109,11.195947112925744,0.6447540083530491
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,5,1,2076,0.8240993699181342,0.030205644201051412,14.400482850166771,1.0922301338029643,14.400482850166771,1.0922301338029643,10.654872289233344,0.4989080718564054
climate_fusion,sentinel2_indices_daymet,sentinel2_indices_daymet_late_fusion,ridge,5,1,2076,0.8303840588629006,0.02683504209217399,14.139789826189425,0.7760924394404212,14.139789826189425,0.7760924394404212,10.875273782468483,0.4730950205194026
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ridge,5,1,2076,0.8431911548178304,0.030668126109866183,13.564120414790313,0.8393099909012525,13.564120414790313,0.8393099909012525,10.377231408314533,0.5485246492185827
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,5,3,2076,0.8468912291630396,0.04130958009602751,13.345819560798011,1.368205910446929,13.345819560798011,1.368205910446929,10.02876282810804,0.8766196162520508
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,5,3,2076,0.8538069302629475,0.03911493692738361,13.042237386769898,1.2866684333255547,13.042237386769898,1.2866684333255547,9.680132246242541,0.6503906878204381
climate_fusion,presto_era5,presto_s2_era5,xgboost,5,3,2076,0.8191703829871472,0.053389905433228,14.475885359028416,1.5574223341113074,14.475885359028416,1.5574223341113074,10.876264496018718,0.7168183133220905
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,5,3,2076,0.8186643303644784,0.04497319786570004,14.542059770326295,1.372395564261991,14.542059770326295,1.372395564261991,10.707048305632856,0.8411824049917176
climate_fusion,sentinel2_indices_daymet,sentinel2_indices_daymet_late_fusion,xgboost,5,3,2076,0.8798566497470809,0.03472351039981128,11.804576812530787,1.1894555398269024,11.804576812530787,1.1894555398269024,8.85786840600116,0.7437736483058335
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,5,3,2076,0.8376978680300272,0.037660898447301805,13.77656550611338,1.2960343069673264,13.77656550611338,1.2960343069673264,10.307946956783303,0.7874986640615305
