family,representation,backbone,regressor,fold,seeds,test_n,r2,r2_seed_std,rmse,rmse_seed_std,rmse_bu_per_acre,rmse_bu_per_acre_seed_std,mae,mae_seed_std
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,0,3,416,0.879421541376542,0.0007724709633343211,12.414041767085047,0.039719991061946486,12.414041767085047,0.039719991061946486,9.483966136372368,0.03915062598898569
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,1,3,415,0.8691175860812007,0.0009675824775885263,12.954115950789763,0.0478238199882158,12.954115950789763,0.0478238199882158,9.67397535690286,0.0675996850514982
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,2,3,415,0.8879886972487508,0.0010102635782478335,11.491838028489376,0.05187564225227542,11.491838028489376,0.05187564225227542,8.84415005628937,0.013545900420761894
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,3,3,415,0.8665751081169372,0.0003178028428762537,12.481588024914887,0.014866590227283037,12.481588024914887,0.014866590227283037,9.386824377109866,0.027786048166728205
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,4,3,415,0.8000762925350778,0.0014015402409688065,14.502952208029754,0.0508790645062449,14.502952208029754,0.0508790645062449,10.64868726093326,0.038174336677501024
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,0,3,416,0.8316495619788608,0.001340214666749388,14.66845097503276,0.05832353849546465,14.66845097503276,0.05832353849546465,11.06800134222749,0.049709680435576706
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,1,3,415,0.8214908836170057,0.0004703010299451931,15.12864091466915,0.019927644334880056,15.12864091466915,0.019927644334880056,11.321052032502307,0.018654364242236512
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,2,3,415,0.8643405936255292,0.0012603567198988916,12.646876019132746,0.058787673422435495,12.646876019132746,0.058787673422435495,9.609981873529563,0.042095400661811944
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,3,3,415,0.8148007496650308,0.0006442435661165179,14.70519124793171,0.025583898959201826,14.70519124793171,0.025583898959201826,11.247161676354663,0.013057369685618941
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,4,3,415,0.7241611856426262,0.0005475577624407793,17.035481550994707,0.016914066512172896,17.035481550994707,0.016914066512172896,12.363947394431015,0.027867480084765472
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,0,1,416,0.8671501415426849,0.0,13.030500862892454,0.0,13.030500862892454,0.0,9.927691356952373,0.0
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,1,1,415,0.831868651036878,0.0,14.682311714893018,0.0,14.682311714893018,0.0,10.149588582601892,0.0
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,2,1,415,0.8720446718346244,0.0,12.282653048112572,0.0,12.282653048112572,0.0,9.3883570328678,0.0
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,3,1,415,0.8555309460679297,0.0,12.987905994077058,0.0,12.987905994077058,0.0,9.80860823298075,0.0
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,4,1,415,0.7923832689647771,0.0,14.77944461035636,0.0,14.77944461035636,0.0,10.883112388518919,0.0
