family,representation,backbone,regressor,fold,validation_fold,seed,train_n,validation_n,test_n,selected_alpha,validation_rmse,test_r2,test_rmse,test_rmse_bu_per_acre,test_mae
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,3,,1,1246,415,415,,,0.856531365216333,12.942858553791897,12.942858553791897,9.832946617402227
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,3,,2,1246,415,415,,,0.8562492125926742,12.955579340408127,12.955579340408127,9.918271589164274
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,3,,0,1246,415,415,,,0.8669833236158794,12.462488433383744,12.462488433383744,9.374761168425637
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,3,,1,1246,415,415,,,0.8665338440048237,12.48352681154983,12.48352681154983,9.360468391911137
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,3,,2,1246,415,415,,,0.8662081567301084,12.498748829811088,12.498748829811088,9.425243570992825
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,4,,0,1245,416,415,100.0,12.950260604620144,0.7923832689647771,14.77944461035636,14.77944461035636,10.883112388518919
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,4,,0,1245,416,415,,,0.7238254573915498,17.045853891734705,17.045853891734705,12.389661797008213
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,4,,1,1245,416,415,,,0.7237247368021561,17.048961911626673,17.048961911626673,12.376954682205332
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,4,,2,1245,416,415,,,0.7249333627341725,17.011628849622742,17.011628849622742,12.325225704079504
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,4,,0,1245,416,415,,,0.7683503049326531,15.611434321828355,15.611434321828355,11.347273140413215
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,4,,1,1245,416,415,,,0.769639389312072,15.567936463053377,15.567936463053377,11.288111004197454
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,4,,2,1245,416,415,,,0.767327417947455,15.64586377285892,15.64586377285892,11.297547009939171
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,4,,0,1245,416,415,,,0.7986557972670569,14.554473665876813,14.554473665876813,10.694693519069196
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,4,,1,1245,416,415,,,0.7995894113265112,14.520690597988464,14.520690597988464,10.650148148918873
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,4,,2,1245,416,415,,,0.8019836690116654,14.433692360223985,14.433692360223985,10.601220114811708
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,0,,0,1245,415,416,100.0,16.163472741449127,0.8362592173307076,14.466350800958446,14.466350800958446,10.82411391551678
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,0,,0,1245,415,416,,,0.7805530561058639,16.747320429844837,16.747320429844837,12.267091315971243
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,0,,1,1245,415,416,,,0.781721753739272,16.70266571246675,16.70266571246675,12.187033410225139
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,0,,2,1245,415,416,,,0.7823033232044083,16.68040000487232,16.68040000487232,12.197936909562575
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,0,,0,1245,415,416,,,0.8447992891342793,14.084045335865497,14.084045335865497,10.447911779697126
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,0,,1,1245,415,416,,,0.8353991932965791,14.50429222054048,14.50429222054048,10.80663164945749
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,0,,2,1245,415,416,,,0.8359548900338436,14.479788081660654,14.479788081660654,10.748300148890568
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,0,,0,1245,415,416,,,0.856412043371496,13.546888893727534,13.546888893727534,10.327587721244956
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,0,,1,1245,415,416,,,0.8575468896187664,13.4932488344474,13.4932488344474,10.246825139296005
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,0,,2,1245,415,416,,,0.8586415596550481,13.441304932705824,13.441304932705824,10.275534388186818
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,1,,0,1246,415,415,100.0,13.552684580536104,0.8059645711985881,15.772865821117186,15.772865821117186,10.904199056970068
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,1,,0,1246,415,415,,,0.786811885598693,16.532996950740365,16.532996950740365,12.061829840873093
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,1,,1,1246,415,415,,,0.7879569964656898,16.488534796153004,16.488534796153004,12.020101920908186
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,1,,2,1246,415,415,,,0.7871818305941716,16.518645880547542,16.518645880547542,12.040435820098022
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,1,,0,1246,415,415,,,0.819399972821681,15.216998476123308,15.216998476123308,11.103448464267224
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,1,,1,1246,415,415,,,0.8325312874117092,14.65335031423589,14.65335031423589,10.823150682564242
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,1,,2,1246,415,415,,,0.8328292232894972,14.640309961264366,14.640309961264366,10.8966672708902
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,1,,0,1246,415,415,,,0.8477591170286498,13.971265267217658,13.971265267217658,10.45379630269555
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,1,,1,1246,415,415,,,0.8489763404276147,13.915300404527903,13.915300404527903,10.30081834257984
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,1,,2,1246,415,415,,,0.8498020020561172,13.8772100946035,13.8772100946035,10.317896420722173
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,2,,0,1246,415,415,100.0,13.423702112049911,0.8506558601458145,13.26957733422927,13.26957733422927,10.023772024131684
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,2,,0,1246,415,415,,,0.8341592056927847,13.98326800491427,13.98326800491427,10.536009939431386
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,2,,1,1246,415,415,,,0.8370613592031071,13.860376945719366,13.860376945719366,10.46902508393771
