encoder,backbone,strategy,prediction_head,fold,seed,test_r2,test_rmse,test_mae,test_n,validation_rmse,best_epoch,parameter_count,sequence_feature_dim,readout_dim,checkpoint
clay,clay_v1_5_cls,mean,mlp,0,0,0.8295702516639888,14.758875228554087,10.949799299240112,416,15.924872669603765,4,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_mean_fold0_seed0.pt
clay,clay_v1_5_cls,mean,mlp,0,1,0.8102070351347106,15.574733171290426,11.375133220966045,416,16.093680710506202,8,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_mean_fold0_seed1.pt
clay,clay_v1_5_cls,mean,mlp,0,2,0.7951410386548715,16.181100047239696,11.729566280658428,416,15.849857842303809,5,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_mean_fold0_seed2.pt
clay,clay_v1_5_cls,concat,mlp,0,0,0.8590596513373248,13.42141269397346,9.943067128841694,416,14.532352526386408,7,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_concat_fold0_seed0.pt
clay,clay_v1_5_cls,concat,mlp,0,1,0.8642955735496682,13.169751089809818,9.839460152846117,416,14.342043811015731,56,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_concat_fold0_seed1.pt
clay,clay_v1_5_cls,concat,mlp,0,2,0.8643200888811632,13.168561462452663,9.98865560384897,416,14.251258796470829,16,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_concat_fold0_seed2.pt
clay,clay_v1_5_cls,conv1d,mlp,0,0,0.833855352075328,14.57215351367108,10.649599130337055,416,15.466738941417082,12,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_conv1d_fold0_seed0.pt
clay,clay_v1_5_cls,conv1d,mlp,0,1,0.8391982803771163,14.335931074701326,10.62337249975938,416,15.315117345103353,29,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_conv1d_fold0_seed1.pt
clay,clay_v1_5_cls,conv1d,mlp,0,2,0.8386745650048821,14.359257455383059,10.807520884733934,416,15.31772840400746,10,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/clay_conv1d_fold0_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,0,0,0.8092254669380874,15.614955809650992,11.731275705190805,416,15.729917440027872,4,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_mean_fold0_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,0,1,0.830036732991126,14.738663213735833,11.363528581765982,416,16.05665968935456,25,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_mean_fold0_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,0,2,0.8209736681794814,15.126519671614071,11.713890937658457,416,15.441439564467485,48,558081,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_mean_fold0_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,0,0,0.863865759077029,13.190590773191149,10.235204659975492,416,14.29292285495404,39,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_concat_fold0_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,0,1,0.8569153374551421,13.523126222535831,10.442915164507353,416,15.027646250904626,34,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_concat_fold0_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,mlp,0,2,0.8553389887754937,13.597413608610191,10.416231338794415,416,14.679985539317837,19,3703809,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_concat_fold0_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,0,0,0.8320501211607918,14.651105894128987,10.844930593784039,416,15.220465409966321,12,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_conv1d_fold0_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,0,1,0.8342667097231886,14.55410273131621,10.91784356190608,416,15.323641873456381,33,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_conv1d_fold0_seed1.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,mlp,0,2,0.8176069810400859,15.26808840032207,11.779113989609938,416,15.132531435238686,25,918657,2048,256,outputs/temporal_ablation_covered/fold_0/checkpoints/prithvi_conv1d_fold0_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,0,0,0.8111823704507788,15.534662788516767,11.958248982062706,416,16.47305982170926,7,427009,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_mean_fold0_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,0,1,0.806460511917326,15.727704973062165,11.761668645418608,416,16.4353577129803,16,427009,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_mean_fold0_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,mean,mlp,0,2,0.8031894869503431,15.860055641999995,11.882872783220732,416,16.53505021941947,15,427009,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_mean_fold0_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,0,0,0.8479993214260024,13.938091886525307,10.416446117254404,416,15.354032319877305,10,2786305,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_concat_fold0_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,0,1,0.8465771694181348,14.003144017321913,10.642840385437012,416,15.201973894855614,6,2786305,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_concat_fold0_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,concat,mlp,0,2,0.8512390548261635,13.788754026343723,10.192623431865986,416,15.537691618591289,34,2786305,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_concat_fold0_seed2.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,0,0,0.817395201291113,15.276949852041444,11.706878698789156,416,15.473959575107903,12,722049,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_conv1d_fold0_seed0.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,0,1,0.8037103307275686,15.839055534662851,12.23612325008099,416,15.508490812149377,11,722049,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_conv1d_fold0_seed1.pt
terramind,terramind_v1_base_s2_6_prithvi,conv1d,mlp,0,2,0.8374209752439821,14.414939265833867,10.654893453304584,416,15.711187826523824,27,722049,1536,256,outputs/temporal_ablation_covered/fold_0/checkpoints/terramind_conv1d_fold0_seed2.pt
