encoder,backbone,strategy,fold,seeds,test_n,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,parameter_count
clay,clay_v1_5_cls,concat,0,3,416,0.8625584379227188,0.0024740359641645155,13.253241748745316,0.1189158075208629,9.92372762851226,0.06242506363489123,3703809
clay,clay_v1_5_cls,conv1d,0,3,416,0.8372427324857755,0.002404763187452635,14.422447347918487,0.10628572201753778,10.693497504943457,0.08133452482186188,918657
clay,clay_v1_5_cls,mean,0,3,416,0.811639441817857,0.014092114078122662,15.504902815694736,0.5827166650802046,11.351499600288195,0.3187768784456368,558081
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,0,3,416,0.8587066951025549,0.003704337512475001,13.437043534779058,0.17688767943372052,10.36478372109242,0.09227154291773074,3703809
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,0,3,416,0.8279746039746888,0.007386655544485375,14.824432341922423,0.31620186275537554,11.180629381766686,0.42423809714126337,918657
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,0,3,416,0.8200786227028982,0.00851970376975058,15.160046231666966,0.35852959067620166,11.60289840820508,0.1694087618604814,558081
terramind,terramind_v1_base_s2_6_prithvi,concat,0,3,416,0.8486051818901003,0.0019508278697116122,13.90999664339698,0.08975066971982985,10.417303311519134,0.18380130106031972,2786305
terramind,terramind_v1_base_s2_6_prithvi,conv1d,0,3,416,0.8195088357542213,0.013843228824007032,15.176981550846053,0.5856745585042747,11.532631800724909,0.6571876462965235,722049
terramind,terramind_v1_base_s2_6_prithvi,mean,0,3,416,0.8069441231061493,0.003280950725968577,15.707474467859642,0.13360908721603068,11.867596803567347,0.08097725546742407,427009
