encoder,backbone,strategy,fold,seeds,test_n,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,parameter_count
clay,clay_v1_5_cls,concat,1,3,415,0.8269146483800783,0.0051755632149178485,14.89536579812559,0.22393299626900692,10.42775300726833,0.13678955231472772,3703809
clay,clay_v1_5_cls,conv1d,1,3,415,0.816777722592888,0.010580313485021463,15.320571741302246,0.44637345654304955,11.037601593507821,0.2765042953948833,918657
clay,clay_v1_5_cls,mean,1,3,415,0.7913505407216825,0.005077684482514396,16.354855532999295,0.19857002629699505,11.825448390853452,0.1325260691651651,558081
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,1,3,415,0.8338424797004492,0.006123409790442575,14.593414597411174,0.2679035335250829,10.664636282556986,0.15756228706047146,3703809
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,1,3,415,0.8056390055112118,0.004960957877584407,15.784804833819232,0.20162903712792454,11.584204221059041,0.11341570439841905,918657
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,1,3,415,0.7798533335821537,0.01426751456507431,16.791633887731965,0.5504094421567385,12.453157837036622,0.25148506758346123,558081
terramind,terramind_v1_base_s2_6_prithvi,concat,1,3,415,0.8175098191100097,0.007311323359114118,15.29339249520597,0.30439002171268864,11.46316241222213,0.20327877384306178,2786305
terramind,terramind_v1_base_s2_6_prithvi,conv1d,1,3,415,0.7904561230169889,0.006907044092277379,16.388827182804036,0.27176153313638385,12.218306597361126,0.28755653429454753,722049
terramind,terramind_v1_base_s2_6_prithvi,mean,1,3,415,0.7810074307972631,0.008878403396690358,16.753160420840107,0.33734963712521837,12.46625309526681,0.10198087895739402,427009
