representation,experiment_id,representation_type,feature_dim,states,county_years_tested,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,pooled_r2,pooled_rmse,pooled_mae,pooled_r2_bootstrap_std,pooled_rmse_bootstrap_std,pooled_mae_bootstrap_std
alphaearth,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,13,2076,0.1872663115232442,0.7002020218184861,19.978374749859793,6.474885639580171,15.288522834522805,5.377689301993499,0.6476755210033545,20.520250864589144,14.892466633429674,0.08161476247193986,2.2277425761169165,1.7610548714234964
clay,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,13,2076,0.33651491808359546,0.3255631194435381,18.600515705079847,3.8802905090668975,14.130936585981901,2.953101434290406,0.712334912741722,18.541925632783997,13.77929758140655,0.06369474012613363,1.3777811057264002,0.9998755071429434
presto,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,13,2076,0.30817110285680926,0.4136335486198835,18.867944657935354,4.885005137976052,14.936962071608301,3.889425266915078,0.6967942196448795,19.03618842346043,14.414803118015413,0.07328434634952402,1.6216735080920466,1.097663703232588
prithvi,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,13,2076,0.38686706678155036,0.31061157838720904,17.871665772729514,4.0982230870671845,13.63113011050221,3.2520160842118937,0.7435440487253211,17.50723847248411,13.05657700096339,0.04218815956323286,1.2498765535063636,0.8988597493000985
sentinel2_indices,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,13,2076,0.36375890330071164,0.3206684945547894,18.13498158088331,4.585190514987789,14.3344215528615,4.148921370171252,0.7371206450585573,17.72513276528957,13.622466329479767,0.04033787594282673,1.2076850560223398,0.8686597731549793
terramind_s2_10,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,13,2076,0.3610353286410214,0.36934578326319406,17.99666000657876,4.1746103142975866,13.815502369958695,3.070870797707995,0.7364842015509792,17.746576491703433,13.325056672447014,0.05030440582686399,1.3934013698474852,0.9646197990688183
terramind_s2_6,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,13,2076,0.4395564227652026,0.27072741426916147,17.06468193115466,3.5754717433353953,13.188575545258907,2.565655547087211,0.7587686155080869,16.97962761251454,12.714127887283238,0.046414654906435544,1.269998489157083,0.8352303581182579
