encoder,backbone,strategy,prediction_head,fold,seed,test_r2,test_rmse,test_mae,test_n,validation_rmse,best_epoch,parameter_count,sequence_feature_dim,readout_dim,checkpoint
clay,clay_v1_5_cls,mean,mlp,2,0,0.8432534055310341,13.594462787101268,10.440494004215102,415,15.029769628117522,13,558081,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_mean_fold2_seed0.pt
clay,clay_v1_5_cls,mean,mlp,2,1,0.8404972067413818,13.713463019603859,10.565482091329184,415,15.043064969611477,12,558081,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_mean_fold2_seed1.pt
clay,clay_v1_5_cls,mean,mlp,2,2,0.8302045669032063,14.149008118437468,10.880015793765883,415,15.028930381027077,11,558081,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_mean_fold2_seed2.pt
clay,clay_v1_5_cls,concat,mlp,2,0,0.8515796393561709,13.228473587020412,10.18073810439512,415,13.7819084465795,13,3703809,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_concat_fold2_seed0.pt
clay,clay_v1_5_cls,concat,mlp,2,1,0.8630982084405506,12.704791992564177,9.565900770440159,415,13.624367712300442,17,3703809,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_concat_fold2_seed1.pt
clay,clay_v1_5_cls,concat,mlp,2,2,0.8570065618954807,12.984374929159149,10.045959959834455,415,13.555849278516698,33,3703809,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_concat_fold2_seed2.pt
clay,clay_v1_5_cls,conv1d,mlp,2,0,0.8729456858037151,12.239331603819853,9.51347370377506,415,14.492836755275297,22,918657,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_conv1d_fold2_seed0.pt
clay,clay_v1_5_cls,conv1d,mlp,2,1,0.8615017748777851,12.778653588648876,9.764418075745365,415,14.31840472859667,17,918657,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_conv1d_fold2_seed1.pt
clay,clay_v1_5_cls,conv1d,mlp,2,2,0.8606797371458961,12.816520479805527,10.014929245178958,415,14.175144463205795,16,918657,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/clay_conv1d_fold2_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,2,0,0.8086000395719315,15.022212983388801,11.398485565185547,415,14.7848152234896,37,558081,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/prithvi_mean_fold2_seed0.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,2,1,0.819501163344881,14.588149214041495,11.369536186126341,415,14.88350680862348,45,558081,2048,256,outputs/temporal_ablation_covered/fold_2/checkpoints/prithvi_mean_fold2_seed1.pt
