encoder,backbone,strategy,fold,seeds,test_n,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,parameter_count
clay,clay_v1_5_cls,concat,2,3,415,0.8572281365640674,0.004705045514354901,12.972546836247913,0.21395565105802314,9.930866278223244,0.2638701113127797,3703809
clay,clay_v1_5_cls,conv1d,2,3,415,0.8650423992757988,0.005598534925312775,12.611501890758085,0.26361780063977996,9.764273674899796,0.2047183929855387,918657
clay,clay_v1_5_cls,mean,2,3,415,0.8379850597252073,0.005615526651284408,13.818977975047531,0.23836972052311822,10.62866396310339,0.18491225407951284,558081
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,concat,2,3,415,0.8508596213465474,0.0033269410543159987,13.259690700013048,0.1484622064332257,9.953869950627707,0.09942624672682311,3703809
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,conv1d,2,3,415,0.8469123074645203,0.005659232772992535,13.432570181505303,0.24801292262700975,10.352060117300256,0.11373643152546403,918657
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,2,3,415,0.8190401184882315,0.008342440308488491,14.60289151432969,0.3365175248705726,11.307279523979709,0.10915621108352008,558081
terramind,terramind_v1_base_s2_6_prithvi,concat,2,3,415,0.8518759256706377,0.009495281028313292,13.208606539045206,0.4193988272274631,10.366979193017187,0.3866753779090478,2786305
terramind,terramind_v1_base_s2_6_prithvi,conv1d,2,3,415,0.8480370877533208,0.0029567647435238186,13.384783949288211,0.12983668544644228,10.527555059716406,0.08283636800943996,722049
terramind,terramind_v1_base_s2_6_prithvi,mean,2,3,415,0.8182753503339711,0.01283286115313789,14.628226524701148,0.5237941489938895,11.348774170779798,0.4192734276979595,427009
